site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
HAKA 13JAN28 2013.0760 56320 1725 1   93.6    459  0.179347   2504056  0.743077  1832  0.688676  0.0000 0.001145 0.001063 0.004496  0.034316 -0.137270  0.052786  22.6344563856 -266.3955331236  1832.68868
HAKA 13JAN29 2013.0787 56321 1725 2   93.6    459  0.179384   2504056  0.746850  1832  0.693685  0.0000 0.001168 0.001074 0.004662  0.048931 -0.170254  0.061249  22.6344564196 -266.3955331233  1832.69368
HAKA 13JAN30 2013.0815 56322 1725 3   93.6    459  0.178816   2504056  0.744290  1832  0.695530  0.0000 0.001162 0.001055 0.004504  0.028371 -0.134011  0.062143  22.6344563965 -266.3955331288  1832.69553
HAKA 13JAN31 2013.0842 56323 1725 4   93.6    459  0.180784   2504056  0.745147  1832  0.708815  0.0000 0.001159 0.001062 0.004533  0.029429 -0.148419  0.065583  22.6344564043 -266.3955331097  1832.70881
HAKA 13FEB01 2013.0869 56324 1725 5   93.6    459  0.182167   2504056  0.743656  1832  0.701958  0.0000 0.001185 0.001068 0.004644  0.047008 -0.137112  0.024675  22.6344563908 -266.3955330962  1832.70196
HAKA 13FEB02 2013.0897 56325 1725 6   93.6    459  0.181346   2504056  0.743789  1832  0.702780  0.0000 0.001169 0.001074 0.004624  0.048560 -0.147211  0.045698  22.6344563920 -266.3955331042  1832.70278
HAKA 13FEB03 2013.0924 56326 1726 0   93.6    459  0.181247   2504056  0.744563  1832  0.699386  0.0000 0.001168 0.001081 0.004649  0.048852 -0.155630  0.048554  22.6344563990 -266.3955331051  1832.69939
HAKA 13FEB04 2013.0951 56327 1726 1   93.6    459  0.179397   2504056  0.743338  1832  0.701417  0.0000 0.001163 0.001066 0.004578  0.034352 -0.147059  0.052069  22.6344563879 -266.3955331231  1832.70142
HAKA 13FEB05 2013.0979 56328 1726 2   93.6    459  0.179856   2504056  0.743368  1832  0.695448  0.0000 0.001181 0.001098 0.004715  0.081430 -0.134406  0.049076  22.6344563882 -266.3955331187  1832.69545
HAKA 13FEB06 2013.1006 56329 1726 3   93.6    459  0.178206   2504056  0.746895  1832  0.707625  0.0000 0.001251 0.001125 0.004948  0.063998 -0.139874  0.038802  22.6344564201 -266.3955331347  1832.70762
HAKA 13FEB07 2013.1034 56330 1726 4   93.6    459  0.179787   2504056  0.745347  1832  0.708445  0.0000 0.001222 0.001080 0.004721  0.018192 -0.156139  0.032643  22.6344564061 -266.3955331193  1832.70844
HAKA 13FEB08 2013.1061 56331 1726 5   93.6    459  0.179177   2504056  0.745943  1832  0.708892  0.0000 0.001182 0.001071 0.004662  0.053475 -0.133113  0.042806  22.6344564115 -266.3955331253  1832.70889
HAKA 13FEB09 2013.1088 56332 1726 6   93.6    459  0.180361   2504056  0.745761  1832  0.701855  0.0000 0.001167 0.001072 0.004590  0.042005 -0.135881  0.062030  22.6344564098 -266.3955331138  1832.70186
HAKA 13FEB10 2013.1116 56333 1727 0   93.6    459  0.178303   2504056  0.747177  1832  0.685253  0.0000 0.001205 0.001103 0.004877  0.098713 -0.139811  0.028028  22.6344564226 -266.3955331338  1832.68525
HAKA 13FEB11 2013.1143 56334 1727 1   93.6    459  0.179582   2504056  0.745576  1832  0.700831  0.0000 0.001160 0.001090 0.004597  0.025654 -0.148575  0.063846  22.6344564081 -266.3955331213  1832.70083
HAKA 13FEB12 2013.1170 56335 1727 2   93.6    459  0.179043   2504056  0.747059  1832  0.694629  0.0000 0.001219 0.001086 0.004744  0.013739 -0.134515  0.052609  22.6344564215 -266.3955331266  1832.69463
HAKA 13FEB13 2013.1198 56336 1727 3   93.6    459  0.182718   2504056  0.742617  1832  0.696677  0.0000 0.001249 0.001117 0.004877 -0.012738 -0.157389  0.021059  22.6344563814 -266.3955330908  1832.69668
HAKA 13FEB14 2013.1225 56337 1727 4   93.6    459  0.183482   2504056  0.744116  1832  0.699794  0.0000 0.001187 0.001100 0.004682  0.029038 -0.159935  0.031043  22.6344563950 -266.3955330834  1832.69979
HAKA 13FEB15 2013.1253 56338 1727 5   93.6    459  0.181701   2504056  0.743451  1832  0.703783  0.0000 0.001170 0.001095 0.004643  0.033599 -0.141702  0.066059  22.6344563890 -266.3955331007  1832.70378
HAKA 13FEB16 2013.1280 56339 1727 6   93.6    459  0.179365   2504056  0.745309  1832  0.699017  0.0000 0.001159 0.001106 0.004599  0.032829 -0.126764  0.089285  22.6344564057 -266.3955331235  1832.69902
HAKA 13FEB17 2013.1307 56340 1728 0   93.6    459  0.182505   2504056  0.744317  1832  0.705310  0.0000 0.001222 0.001131 0.004921  0.042530 -0.160779  0.057205  22.6344563968 -266.3955330929  1832.70531
HAKA 13FEB18 2013.1335 56341 1728 1   93.6    459  0.180837   2504056  0.745518  1832  0.702215  0.0000 0.001188 0.001091 0.004664  0.040899 -0.139856  0.062827  22.6344564076 -266.3955331091  1832.70222
HAKA 13FEB19 2013.1362 56342 1728 2   93.6    459  0.180667   2504056  0.745191  1832  0.702322  0.0000 0.001172 0.001089 0.004626  0.034378 -0.161260  0.062647  22.6344564047 -266.3955331108  1832.70232
HAKA 13FEB20 2013.1389 56343 1728 3   93.6    459  0.181078   2504056  0.746405  1832  0.703595  0.0000 0.001173 0.001076 0.004600  0.044269 -0.178691  0.031794  22.6344564156 -266.3955331068  1832.70360
HAKA 13FEB21 2013.1417 56344 1728 4   93.6    459  0.179533   2504056  0.746682  1832  0.706805  0.0000 0.001272 0.001128 0.004902  0.068730 -0.153505  0.056829  22.6344564181 -266.3955331218  1832.70680
HAKA 13FEB22 2013.1444 56345 1728 5   93.6    459  0.182152   2504056  0.745382  1832  0.706347  0.0000 0.001244 0.001172 0.004953  0.000244 -0.153542  0.122690  22.6344564064 -266.3955330963  1832.70635
HAKA 13FEB23 2013.1472 56346 1728 6   93.6    459  0.181946   2504056  0.748314  1832  0.708268  0.0000 0.001239 0.001112 0.004795  0.026239 -0.151061  0.057482  22.6344564329 -266.3955330983  1832.70827
HAKA 13FEB24 2013.1499 56347 1729 0   93.6    459  0.181911   2504056  0.744873  1832  0.701690  0.0000 0.001176 0.001103 0.004695  0.019226 -0.155415  0.088417  22.6344564018 -266.3955330987  1832.70169
HAKA 13FEB25 2013.1526 56348 1729 1   93.6    459  0.183115   2504056  0.749422  1832  0.703734  0.0000 0.001204 0.001091 0.004727  0.051967 -0.164291  0.030058  22.6344564429 -266.3955330870  1832.70373
HAKA 13FEB26 2013.1554 56349 1729 2   93.6    459  0.181105   2504056  0.746478  1832  0.704745  0.0000 0.001182 0.001077 0.004682  0.043091 -0.189637  0.046943  22.6344564163 -266.3955331065  1832.70475
HAKA 13FEB27 2013.1581 56350 1729 3   93.6    459  0.180992   2504056  0.749210  1832  0.710162  0.0000 0.001163 0.001097 0.004652  0.020372 -0.159269  0.089392  22.6344564410 -266.3955331076  1832.71016
HAKA 13FEB28 2013.1608 56351 1729 4   93.6    459  0.180760   2504056  0.750068  1832  0.717254  0.0000 0.001175 0.001090 0.004644  0.038090 -0.159839  0.050878  22.6344564487 -266.3955331099  1832.71725
HAKA 13MAR01 2013.1636 56352 1729 5   93.6    459  0.180312   2504056  0.745181  1832  0.700956  0.0000 0.001173 0.001097 0.004649  0.029566 -0.171344  0.083844  22.6344564046 -266.3955331142  1832.70096
HAKA 13MAR02 2013.1663 56353 1729 6   93.6    459  0.182632   2504056  0.747171  1832  0.698680  0.0000 0.001192 0.001112 0.004682  0.035029 -0.154140  0.099708  22.6344564225 -266.3955330917  1832.69868
HAKA 13MAR03 2013.1691 56354 1730 0   93.6    459  0.179808   2504056  0.743856  1832  0.702832  0.0000 0.001184 0.001117 0.004668  0.051930 -0.156340  0.094478  22.6344563926 -266.3955331191  1832.70283
HAKA 13MAR04 2013.1718 56355 1730 1   93.6    459  0.182914   2504056  0.748697  1832  0.707715  0.0000 0.001183 0.001088 0.004662  0.027272 -0.168820  0.075929  22.6344564363 -266.3955330889  1832.70771
HAKA 13MAR05 2013.1745 56356 1730 2   93.6    459  0.181684   2504056  0.748464  1832  0.707109  0.0000 0.001177 0.001089 0.004663  0.028212 -0.153473  0.096192  22.6344564342 -266.3955331009  1832.70711
